incident_number,knowledge_article_number
INC2197888,KB0020387
INC2197847,KB0020224
INC2197408,KB0020363
INC2197336,KB0020149
INC2197311,KB0020408
INC2197226,KB0020387
INC2197165,KB0020368
INC2197129,KB0020381
INC2197092,KB0020387
INC2197027,KB0020224
INC2196516,KB0020363
INC2195767,KB0020149
INC2195627,KB0020408
INC2195647,KB0020387
INC2195574,KB0020368
INC2195534,KB0020381
INC2195488,KB0020387
INC2195446,KB0020224
INC2195423,KB0020363
INC2195374,KB0020149
INC2195297,KB0020408
INC2195237,KB0020387
INC2194923,KB0020368
INC2194920,KB0020381
INC2194781,KB0020387
INC2194753,KB0020224
INC2194692,KB0020363
INC2194645,KB0020149
INC2194636,KB0020408
INC2194614,KB0020387
INC2194618,KB0020368
INC2194507,KB0020381
INC2194444,KB0020387
INC2194342,KB0020224
INC2193853,KB0020363
INC2193726,KB0020149
INC2193675,KB0020408
INC2193585,KB0020387
INC2193581,KB0020368
INC2192570,KB0020381
INC2192040,KB0020387
INC2192002,KB0020224
INC2191726,KB0020363
INC2191677,KB0020149
INC2191611,KB0020408
INC2191399,KB0020387
INC2191042,KB0020368
INC2190778,KB0020381
INC2190711,KB0020387
INC2190136,KB0020224
INC2190125,KB0020363
INC2190025,KB0020149
INC2189986,KB0020408
INC2189904,KB0020387
INC2189683,KB0020368
INC2189626,KB0020381
INC2189111,KB0020387
INC2188873,KB0020224
INC2188863,KB0020363
INC2188044,KB0020149
